lndex,Question,Options,Correct Answer
1,Is the rabbit in the image facing left or right?,(a) Left (b) Right,(a)
2,Is the rabbit in the image facing left or right?,(a) Left (b) Right,(b)
3,Is the car in the picture facing front or back?,(a) Front (b) Back,(a)
4,Is the car in the picture facing front or back?,(a) Front (b) Back,(b)
5,Is the rabbit in the image facing right or front?,(a) Right (b) Front,(a)
6,Is the rabbit in the image facing right or front?,(a) Right (b) Front,(b)
7,Is the butterfly in the image facing left or right?,(a) Right (b) Left,(a)
8,Is the butterfly in the image facing left or right?,(a) Right (b) Left,(b)
9,Is the toy rabbit in the image on the left or in the middle?,(a) Middle (b) Left,(a)
10,Is the toy rabbit in the image on the left or in the middle?,(a) Middle (b) Left,(b)
11,Are the shoes in the image on the left or right?,(a) Left (b) Right,(a)
12,Are the shoes in the image on the left or right?,(a) Left (b) Right,(b)
13,Is the person in the image facing left or right?,(a) Right (b) Left,(a)
14,Is the person in the image facing left or right?,(a) Right (b) Left,(b)
15,Is the car in the image towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(a)
16,Is the car in the image towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(b)
17,Are the flowers in the image on the left or right?,(a) Right (b) Left,(a)
18,Are the flowers in the image on the left or right?,(a) Right (b) Left,(b)
19,Is the house in the image in the front or at the end?,(a) Front (b) End,(a)
20,Is the house in the image in the front or at the end?,(a) Front (b) End,(b)
21,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(a)
22,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(b)
23,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(a)
24,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(b)
25,Is the needle pointing up or down?,(a) Up (b) Down,(a)
26,Is the needle pointing up or down?,(a) Up (b) Down,(b)
27,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(a)
28,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(b)
29,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(a)
30,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(b)
31,Is there a helmet in the image?,(a) Yes (b) No,(a)
32,Is there a helmet in the image?,(a) Yes (b) No,(b)
33,Is the snowman in the image wearing clothes?,(a) Yes (b) No,(a)
34,Is the snowman in the image wearing clothes?,(a) Yes (b) No,(b)
35,Are there any apples in the image?,(a) Yes (b) No,(a)
36,Are there any apples in the image?,(a) Yes (b) No,(b)
37,Are there any bars of chocolates in the image?,(a) Pink (b) Violet,(a)
