Question ID,Type,Statement
1,Unknown,a butterfly with wings open
2,Unknown,a butterfly with wings closed
3,Unknown,round flame
4,Unknown,thin flame
5,Unknown,a dog facing left
6,Unknown,a dog facing right
7,Unknown,a bus driving towards the camera
8,Unknown,a bus driving away from the camera
9,Unknown,"key ""Z"" on the keyboard"
10,Unknown,"no key ""Z"" on the keyboard"
11,Unknown,a peacock opening its tail
12,Unknown,a peacock folding its tail
13,Unknown,a single ear of corn
14,Unknown,multiple ears of corn
15,Unknown,a shadow on the flower
16,Unknown,no shadow on the flower
17,Unknown,protruding front of the school bus
18,Unknown,flat front of the school bus
19,Unknown,animal with visible dorsal fin
20,Unknown,animal without visible dorsal fin
21,Unknown,duck with entire beak visible
22,Unknown,duck with partial beak visible
23,Unknown,snake from front view
24,Unknown,snake from side view
25,Unknown,chicken with black body
26,Unknown,chicken with red body
27,Unknown,a peacock's head
28,Unknown,no peacock's head
29,Unknown,no visible window on the school bus
30,Unknown,visible window on the school bus
31,Unknown,wind blowing the flag
32,Unknown,no wind blowing the flag
33,Unknown,butterfly with visible abdomen
34,Unknown,butterfly without visible abdomen
35,Unknown,vegetables with spikes
36,Unknown,vegetables without spikes
37,Unknown,pink flowers in the background
38,Unknown,violet flowers in the background
39,Unknown,duck floating
40,Unknown,duck standing
41,Unknown,spider with 8 legs
42,Unknown,spider with 6 legs
43,Unknown,wheels of the school bus
44,Unknown,no wheels of the school bus
45,Unknown,shark's belly
46,Unknown,no shark's belly
47,Unknown,animal with 5 spots
48,Unknown,animal with 6 spots
49,Unknown,arrow keys
50,Unknown,no arrow keys
51,Unknown,elephant with curved trunk
52,Unknown,elephant with straight trunk
53,Unknown,countable number of pills
54,Unknown,uncountable number of pills
55,Unknown,stems of bananas
56,Unknown,no stems of bananas
57,Unknown,crocodile submerged in the water
58,Unknown,crocodile beside the water
59,Unknown,lock locked to the chain-linked fence
60,Unknown,lock not locked to the chain-linked fence
61,Unknown,"letter ""J"""
62,Unknown,"no letter ""J"""
63,Unknown,one daisy that is under the shadow of a taller daisy
64,Unknown,no daisy that is under the shadow of a taller daisy
65,Unknown,"no letter ""D"""
66,Unknown,"letter ""D"""
